Malware,Malware Type,Defender,Crytica
Sodinokibi,Ransomware,Didn't detect it,15
Erebus,Ransomware,Didn't detect it,48
CobaltStrike,Cryptojacker,Didn't detect it,31
Miner-6,Cryptojacker,Didn't detect it,53
Buhti,Ransomware,Didn't detect it,25
GonnaCry,Ransomware,Didn't detect it,25
IceFire,Ransomware,Didn't detect it,18
Cylance,Ransomware,Didn't detect it,17
AvosLocker,Ransomware,Didn't detect it,15
Monti,Ransomware,600,24
Conti,Ransomware,479,46
TellYouThePass,Ransomware,Didn't detect it,42
Kuiper,Ransomware,Didn't detect it,17
Chaos,Cryptojacker,488,26
Kinsing,Cryptojacker,1415,21
BillGates,Backdoor,1367,19
Clop,Ransomware,Didn't detect it,21
Coinminer,Cryptojacker,1993,18
Multiverze,Cryptojacker,2131,13
Coinminer (Agent-BKO),Cryptojacker,1583,18
